"User ID","Gender","Age","AnnualSalary","Masters_Degree"
"385","Male","35","20000","0"
"681","Male","40","43500","1"
"353","Male","49","74000","0"
"895","Male","40","107500","0"
"661","Male","25","79000","0"
"846","Female","47","33500","1"
"219","Female","46","132500","1"
"588","Male","42","64000","1"
"85","Female","30","84500","0"
"465","Male","41","52000","1"
"686","Male","42","80000","0"
"408","Male","47","23000","0"
"790","Female","32","72500","0"
"116","Female","27","57000","1"
"118","Female","42","108000","1"
"54","Female","33","149000","0"
"90","Male","35","75000","0"
"372","Male","35","53000","0"
"926","Male","46","79000","0"
"94","Female","39","134000","0"
"338","Female","39","51500","1"
"134","Female","49","39000","0"
"821","Male","54","25500","0"
"294","Female","41","61500","1"
"597","Female","31","117500","1"
"567","Male","24","58000","0"
"20","Male","40","107000","0"
"108","Male","40","97500","0"
"105","Female","48","29000","1"
"994","Female","38","147500","0"
"273","Male","45","26000","1"
"263","Male","32","67500","0"
"423","Female","37","62000","1"
"88","Male","41","79500","1"
"81","Female","44","113500","0"
"257","Female","47","41500","1"
"755","Female","38","55000","1"
"249","Female","39","114500","0"
"121","Male","42","73000","1"
"489","Male","26","15000","0"
"222","Female","59","39500","1"
"590","Female","39","66500","1"
"645","Female","43","80500","0"
"689","Male","49","86000","1"
"646","Male","37","75000","0"
"964","Female","49","76500","1"
"384","Male","28","123000","0"
"826","Female","59","48500","0"
"27","Female","40","60500","0"
"268","Female","38","99500","1"
"466","Male","51","35500","1"
"411","Female","55","130000","1"
"445","Female","23","56500","1"
"428","Female","49","43500","0"
"974","Female","49","36000","0"
"828","Male","48","21500","1"
"348","Female","49","98500","1"
"730","Male","43","59500","0"
"820","Female","35","147000","0"
"917","Female","50","109500","0"
"15","Male","48","26500","0"
"365","Male","49","88000","0"
"674","Female","38","72500","1"
"30","Male","27","58000","0"
"531","Male","35","22000","1"
"190","Female","35","71000","0"
"160","Male","43","129000","0"
"371","Male","41","45000","0"
"321","Male","39","42000","1"
"230","Female","45","40500","1"
"819","Female","51","37500","1"
"351","Female","41","63000","0"
"266","Male","58","41500","1"
"629","Female","50","115500","0"
"891","Female","28","55500","0"
"311","Male","34","32500","0"
"439","Female","57","106500","1"
"861","Female","50","53500","1"
"510","Male","49","28000","1"
"277","Male","53","151500","0"
"417","Male","42","88500","1"
"123","Female","27","17000","0"
"912","Female","59","76000","1"
"667","Female","51","136500","1"
"435","Female","49","120500","0"
"722","Female","32","35500","1"
"892","Male","30","44500","1"
"279","Female","27","18500","1"
"500","Female","36","50000","1"
"684","Male","60","144500","0"
"414","Male","38","51000","1"
"349","Female","29","38500","0"
"456","Female","61","103500","0"
"485","Female","33","151500","0"
"960","Male","45","75500","1"
"233","Female","26","17000","1"
"191","Male","30","87000","1"
"471","Male","38","60500","1"
"977","Female","28","84000","1"
"120","Female","50","88000","0"
"126","Male","26","80000","1"
"23","Male","39","42000","0"
